Bucket	WT	ilvG
1,215	0,0420327	0,00624327
1,185	0,26554932	0,26345523
1,155	0,00776418	0,00169717
1,125	0,00111547	0,0004786
1,095	0,00184203	0,00102009
1,065	0,01416901	0,00267564
1,035	0,00021569	0,00025447
1,005	0,00238224	0,00177082
0,975	0,0007876	0,00031502
0,945	0,00468581	0,00204626
0,915	0,01097002	0,0051665
0,885	0,00836425	0,00563237
0,855	0,00186174	0,00143148
0,825	0,00015921	0,00004901
0,795	0,00010695	0,00006599
0,765	0,00016651	0,00017093
0,735	0,00135689	0,00130161
0,705	0,00012118	0,00005515
0,675	0,00002414	0,00006179
0,645	0,00005916	0,00004047
0,615	0,00004458	0,00002598
0,585	0,000163	0,00006898
0,555	0,00015181	0,00001273
0,525	0,00004209	0,000164
0,495	0,00012115	0,00002792
0,465	0,00004915	0,00012008
0,435	0,00005142	0,00013362
0,405	0,00006788	0,00008737
8,985	0,00037028	0,00026607
8,955	0,00038282	0,00007315
8,925	0,00030697	0,0001608
8,895	0,00027234	0,00018535
8,865	0,00040385	0,00019987
8,835	0,00038329	0,00022481
8,805	0,00023779	0,00024606
8,775	0,00032139	0,0002107
8,745	0,0002775	0,00033957
8,715	0,00028012	0,0002267
8,685	0,00025986	0,00017975
8,655	0,00039865	0,00027595
8,625	0,00050788	0,00018237
8,595	0,00046005	0,00042338
8,565	0,00053193	0,0005822
8,535	0,00048934	0,00021332
8,505	0,00035091	0,00025349
8,475	0,00037771	0,00059762
8,445	0,05817453	0,08339406
8,415	0,0011768	0,00079461
8,385	0,00062763	0,00047336
8,355	0,00059291	0,00065078
8,325	0,00117605	0,00129746
8,295	0,00081933	0,00048854
8,265	0,00156056	0,00076411
8,235	0,00078503	0,00065092
8,205	0,00087674	0,00042802
8,175	0,0012817	0,00080286
8,145	0,00140478	0,00143956
8,115	0,0013118	0,00116754
8,085	0,00640137	0,00599498
8,055	0,01131938	0,01099725
8,025	0,00121625	0,00099554
7,995	0,00067008	0,00080816
7,965	0,00104875	0,00071858
7,935	0,00090132	0,00046077
7,905	0,00081542	0,00069306
7,875	0,00117616	0,00077337
7,845	0,00060752	0,00053581
7,815	0,00142383	0,00102398
7,785	0,0009862	0,00092415
7,755	0,00082048	0,00064658
7,725	0,00098531	0,0004495
